Cell Number,X,Y,Z,Cell Flux,Standard Deviation
171,-7.00000E+02,7.00000E+02,0.00000E+00,6.06956E-13,1.58800E-01
172,-6.00000E+02,7.00000E+02,0.00000E+00,3.44286E-11,2.47000E-02
173,-5.00000E+02,7.00000E+02,0.00000E+00,2.29766E-11,3.21000E-02
174,-4.00000E+02,7.00000E+02,0.00000E+00,1.07115E-11,4.72000E-02
175,-3.00000E+02,7.00000E+02,0.00000E+00,6.00451E-14,4.86200E-01
176,-2.00000E+02,3.00000E+02,0.00000E+00,8.98113E-15,1.00000E+00
177,-1.00000E+02,3.00000E+02,0.00000E+00,1.03483E-11,4.87000E-02
178,0.00000E+00,3.00000E+02,0.00000E+00,2.10767E-11,3.13000E-02
179,1.00000E+02,3.00000E+02,0.00000E+00,1.23767E-11,4.06000E-02
180,2.00000E+02,3.00000E+02,0.00000E+00,5.40307E-12,5.76000E-02
181,-2.00000E+02,4.00000E+02,0.00000E+00,9.64818E-12,4.56000E-02
182,-1.00000E+02,4.00000E+02,0.00000E+00,1.55272E-09,4.90000E-03
183,0.00000E+00,4.00000E+02,0.00000E+00,4.31080E-09,3.00000E-03
184,1.00000E+02,4.00000E+02,0.00000E+00,1.16421E-09,5.90000E-03
185,2.00000E+02,4.00000E+02,0.00000E+00,5.89433E-12,7.40000E-02
186,-2.00000E+02,5.00000E+02,0.00000E+00,3.78194E-11,2.33000E-02
187,-1.00000E+02,5.00000E+02,0.00000E+00,4.80932E-09,2.80000E-03
188,0.00000E+00,5.00000E+02,0.00000E+00,8.58385E-09,2.10000E-03
189,1.00000E+02,5.00000E+02,0.00000E+00,2.48476E-09,4.00000E-03
190,2.00000E+02,5.00000E+02,0.00000E+00,1.39816E-11,3.87000E-02
191,-2.00000E+02,6.00000E+02,0.00000E+00,1.42975E-11,3.88000E-02
192,-1.00000E+02,6.00000E+02,0.00000E+00,3.48776E-09,3.30000E-03
193,0.00000E+00,6.00000E+02,0.00000E+00,6.09419E-09,2.50000E-03
194,1.00000E+02,6.00000E+02,0.00000E+00,2.24707E-09,4.20000E-03
195,2.00000E+02,6.00000E+02,0.00000E+00,4.99653E-12,6.59000E-02
196,-2.00000E+02,7.00000E+02,0.00000E+00,1.88652E-13,2.19100E-01
197,-1.00000E+02,7.00000E+02,0.00000E+00,3.32313E-11,2.65000E-02
198,0.00000E+00,7.00000E+02,0.00000E+00,2.66464E-11,2.74000E-02
199,1.00000E+02,7.00000E+02,0.00000E+00,1.22244E-11,4.24000E-02
200,2.00000E+02,7.00000E+02,0.00000E+00,9.16177E-15,6.20700E-01
201,3.00000E+02,3.00000E+02,0.00000E+00,3.91492E-13,1.59200E-01
202,4.00000E+02,3.00000E+02,0.00000E+00,3.40262E-11,2.60000E-02
203,5.00000E+02,3.00000E+02,0.00000E+00,8.56864E-11,1.58000E-02
204,6.00000E+02,3.00000E+02,0.00000E+00,4.46385E-11,2.24000E-02
205,7.00000E+02,3.00000E+02,0.00000E+00,2.31366E-13,2.18500E-01
206,3.00000E+02,4.00000E+02,0.00000E+00,3.15629E-11,2.57000E-02
207,4.00000E+02,4.00000E+02,0.00000E+00,7.52877E-09,2.20000E-03
208,5.00000E+02,4.00000E+02,0.00000E+00,1.63006E-08,1.50000E-03
209,6.00000E+02,4.00000E+02,0.00000E+00,6.60465E-09,2.40000E-03
210,7.00000E+02,4.00000E+02,0.00000E+00,2.44635E-11,2.82000E-02
211,3.00000E+02,5.00000E+02,0.00000E+00,7.83613E-11,1.65000E-02
212,4.00000E+02,5.00000E+02,0.00000E+00,1.16054E-08,1.80000E-03
213,5.00000E+02,5.00000E+02,0.00000E+00,1.80412E-08,1.50000E-03
214,6.00000E+02,5.00000E+02,0.00000E+00,7.59696E-09,2.20000E-03
215,7.00000E+02,5.00000E+02,0.00000E+00,3.25206E-11,2.59000E-02
216,3.00000E+02,6.00000E+02,0.00000E+00,1.66705E-11,3.73000E-02
217,4.00000E+02,6.00000E+02,0.00000E+00,1.58115E-09,4.80000E-03
218,5.00000E+02,6.00000E+02,0.00000E+00,5.21384E-09,2.80000E-03
219,6.00000E+02,6.00000E+02,0.00000E+00,1.34743E-09,5.30000E-03
220,7.00000E+02,6.00000E+02,0.00000E+00,4.62351E-12,6.90000E-02
221,3.00000E+02,7.00000E+02,0.00000E+00,3.93140E-14,5.08500E-01
222,4.00000E+02,7.00000E+02,0.00000E+00,3.95434E-12,7.47000E-02
223,5.00000E+02,7.00000E+02,0.00000E+00,2.87126E-11,3.02000E-02
224,6.00000E+02,7.00000E+02,0.00000E+00,1.03408E-11,4.90000E-02
225,7.00000E+02,7.00000E+02,0.00000E+00,6.41508E-14,4.13200E-01
